AP MAC,zoneId,apGroupId,AP Serial,AP Name,Zone Name,AP Description,AP Location,AP S/W Version,wifi24Channel,wifi50Channel,NAS IP (externalIp),NAS Port (externalPort),AP IP,AP Provisioned Method,AP Approved Time,AP Last Seen,Connected Client counts,Management VLAN
D4:BD:4F:15:83:70,8ec4d62c-0919-4883-a6b8-ed011e385d4e,8cd73e5d-39b2-4812-a398-8af5cb2d7cbc,1.72E+11,4.05E+15,VEDANTA CAIRN MPT(YOL),BUNK NO. 656,BARMER,5.2.2.0.301,6,44,122.186.2.18,38531,10.0.8.85,Discovered,1.68E+12,1.71E+12,0,1
D4:BD:4F:15:83:80,8ec4d62c-0919-4883-a6b8-ed011e385d4e,8cd73e5d-39b2-4812-a398-8af5cb2d7cbc,1.72E+11,4.05E+15,VEDANTA CAIRN MPT(YOL),BUNK NO. 655,BARMER,5.2.2.0.301,11,149,122.186.2.18,55411,10.0.8.94,Discovered,1.68E+12,1.71E+12,0,1
D4:BD:4F:15:83:A0,8ec4d62c-0919-4883-a6b8-ed011e385d4e,8cd73e5d-39b2-4812-a398-8af5cb2d7cbc,1.72E+11,4.05E+15,VEDANTA CAIRN MPT(YOL),BUNK NO. 657,BARMER,5.2.2.0.301,11,60,122.186.2.18,48013,10.0.8.84,Discovered,1.68E+12,1.71E+12,0,1
D4:BD:4F:15:84:30,8ec4d62c-0919-4883-a6b8-ed011e385d4e,8cd73e5d-39b2-4812-a398-8af5cb2d7cbc,1.72E+11,4.05E+15,VEDANTA CAIRN MPT(YOL),BUNK NO. 512,BARMER,5.2.2.0.301,1,153,122.186.2.18,35482,10.0.8.4,Discovered,1.68E+12,1.71E+12,0,1
D4:BD:4F:15:84:90,8ec4d62c-0919-4883-a6b8-ed011e385d4e,8cd73e5d-39b2-4812-a398-8af5cb2d7cbc,1.72E+11,4.05E+15,VEDANTA CAIRN MPT(YOL),BUNK NO. 527,BARMER,5.2.2.0.301,11,104,122.186.2.18,34417,10.0.8.40,Discovered,1.68E+12,1.71E+12,0,1
D4:BD:4F:15:86:F0,8ec4d62c-0919-4883-a6b8-ed011e385d4e,8cd73e5d-39b2-4812-a398-8af5cb2d7cbc,1.72E+11,4.05E+15,VEDANTA CAIRN MPT(YOL),BUNK NO. 627,BARMER,5.2.2.0.301,1,128,122.186.2.18,47635,10.0.8.76,Discovered,1.68E+12,1.71E+12,2,1
D4:BD:4F:15:87:B0,8ec4d62c-0919-4883-a6b8-ed011e385d4e,8cd73e5d-39b2-4812-a398-8af5cb2d7cbc,1.72E+11,4.05E+15,VEDANTA CAIRN MPT(YOL),BUNK NO. 634,BARMER,5.2.2.0.301,6,36,122.186.2.18,45969,10.0.8.88,Discovered,1.68E+12,1.71E+12,0,1
D4:BD:4F:15:87:C0,8ec4d62c-0919-4883-a6b8-ed011e385d4e,8cd73e5d-39b2-4812-a398-8af5cb2d7cbc,1.72E+11,4.05E+15,VEDANTA CAIRN MPT(YOL),BUNK NO. 694,BARMER,5.2.2.0.301,1,157,122.186.2.18,45196,10.0.8.77,Discovered,1.68E+12,1.71E+12,0,1
D4:BD:4F:15:87:D0,8ec4d62c-0919-4883-a6b8-ed011e385d4e,8cd73e5d-39b2-4812-a398-8af5cb2d7cbc,1.72E+11,4.05E+15,VEDANTA CAIRN MPT(YOL),BUNK NO. 665,BARMER,5.2.2.0.301,1,128,122.186.2.18,55619,10.0.8.112,Discovered,1.67E+12,1.71E+12,0,1
D4:BD:4F:15:87:E0,8ec4d62c-0919-4883-a6b8-ed011e385d4e,8cd73e5d-39b2-4812-a398-8af5cb2d7cbc,1.72E+11,4.05E+15,VEDANTA CAIRN MPT(YOL),BUNK NO. 621,BARMER,5.2.2.0.301,1,161,122.186.2.18,59922,10.0.8.90,Discovered,1.68E+12,1.71E+12,0,1
D4:BD:4F:15:88:00,8ec4d62c-0919-4883-a6b8-ed011e385d4e,8cd73e5d-39b2-4812-a398-8af5cb2d7cbc,1.72E+11,4.05E+15,VEDANTA CAIRN MPT(YOL),BUNK NO. 662,BARMER,5.2.2.0.301,1,64,122.186.2.18,59471,10.0.8.99,Discovered,1.67E+12,1.71E+12,0,1
D4:BD:4F:15:88:10,8ec4d62c-0919-4883-a6b8-ed011e385d4e,8cd73e5d-39b2-4812-a398-8af5cb2d7cbc,1.72E+11,4.05E+15,VEDANTA CAIRN MPT(YOL),BUNK NO. 663,BARMER,5.2.2.0.301,11,149,122.186.2.18,48458,10.0.8.97,Discovered,1.67E+12,1.71E+12,0,1
D4:BD:4F:15:C0:00,8ec4d62c-0919-4883-a6b8-ed011e385d4e,8cd73e5d-39b2-4812-a398-8af5cb2d7cbc,1.72E+11,4.05E+15,VEDANTA CAIRN MPT(YOL),BUNK NO. 504,BARMER,5.2.2.0.301,11,56,122.186.2.18,57145,10.0.8.22,Discovered,1.68E+12,1.71E+12,0,1
