Timestamp,AP MAC,Zone,AP Group,Last Seen,Status (connectionState),Radio Mode (GHz),rssi,snr,Tx Traffic (MB),Rx Traffic (MB),Overall_Traffic
05-11-2023 18:31,80:BC:37:0C:42:70,NSE BKC,df4aacb2-7862-4e10-bc86-98d1e1a68d0f,1.7072E+12,Connect,5 GHz,-71,20,200.465004,1687.138309,1887.603313
05-11-2023 18:31,80:BC:37:0C:42:B0,NSE BKC,df4aacb2-7862-4e10-bc86-98d1e1a68d0f,1.7072E+12,Connect,5 GHz,-55,37,2.306295395,15.2896595,17.5959549
05-11-2023 18:31,80:BC:37:0C:47:E0,"Advantage Club Technologies Inc,",8da9e96e-f412-4bdf-aeac-7bf6e85f3252,1.7072E+12,Connect,5 GHz,-61,27,0.29784584,8.821936607,9.119782448
05-11-2023 18:31,80:BC:37:0C:4B:80,Jain Kanakpura,83d14bd4-ca67-4ab4-b946-42a15693e1dc,1.7072E+12,Connect,2.4 GHz,-57,32,0.056190491,1.654838562,1.711029053
05-11-2023 18:31,80:BC:37:0C:4D:B0,NSE BKC,df4aacb2-7862-4e10-bc86-98d1e1a68d0f,1.7072E+12,Connect,2.4 GHz,-74,14,17.02041912,62.22244072,79.24285984
05-11-2023 18:31,80:BC:37:0C:51:30,"Advantage Club Technologies Inc,",8da9e96e-f412-4bdf-aeac-7bf6e85f3252,1.7072E+12,Connect,5 GHz,-68.25,20.75,59.49754715,1836.892824,1896.390371
05-11-2023 18:31,80:BC:37:0C:52:B0,NSE BKC,df4aacb2-7862-4e10-bc86-98d1e1a68d0f,1.7072E+12,Connect,2.4 GHz,-84,8,0.13684082,1.214427948,1.351268768
05-11-2023 18:31,80:BC:37:0C:56:A0,NSE BKC,df4aacb2-7862-4e10-bc86-98d1e1a68d0f,1.7072E+12,Connect,5 GHz,-66,27,94.65842056,690.3242521,784.9826727
05-11-2023 18:31,80:BC:37:0C:CE:80,"Advantage Club Technologies Inc,",8da9e96e-f412-4bdf-aeac-7bf6e85f3252,1.7072E+12,Connect,2.4 GHz,-81,4,0.00290966,146.9524755,146.9553852
05-11-2023 18:31,80:BC:37:0C:CE:80,"Advantage Club Technologies Inc,",8da9e96e-f412-4bdf-aeac-7bf6e85f3252,1.7072E+12,Connect,5 GHz,-51,39,81.49749565,146.0682135,227.5657091
05-11-2023 18:31,80:BC:37:0C:D0:20,GENPACT,aa878c85-a6ad-44ea-9a28-0ac71a1b6696,1.70271E+12,Disconnect,2.4 GHz,-42,47,0,0,0
05-11-2023 18:31,80:BC:37:0C:D7:10,Jain Kanakpura,83d14bd4-ca67-4ab4-b946-42a15693e1dc,1.7072E+12,Connect,2.4 GHz,-73,15,3.396159172,68.1838026,71.57996178
05-11-2023 18:31,80:BC:37:0C:DD:30,NSE BKC,df4aacb2-7862-4e10-bc86-98d1e1a68d0f,1.7072E+12,Connect,2.4 GHz,-69,25,0.023939133,40.98165512,41.00559425
05-11-2023 18:31,80:BC:37:0C:EF:B0,Jain Kanakpura,83d14bd4-ca67-4ab4-b946-42a15693e1dc,1.7072E+12,Connect,2.4 GHz,-70,18,0.099349022,7.913469315,8.012818336
05-11-2023 18:31,80:BC:37:0C:EF:F0,Jain Kanakpura,83d14bd4-ca67-4ab4-b946-42a15693e1dc,1.7072E+12,Connect,2.4 GHz,-71,18,0.178030014,31.32444382,31.50247383
05-11-2023 18:37,80:03:84:19:D8:60,PN International,e39246bd-e182-48ac-b5fd-6850953f839d,1.7072E+12,Connect,2.4 GHz,-60.33333333,22.66666667,37.53749943,332.1312065,369.6687059
05-11-2023 18:37,80:03:84:19:D8:60,PN International,e39246bd-e182-48ac-b5fd-6850953f839d,1.7072E+12,Connect,5 GHz,-77.83333333,12.16666667,11.83464241,86.11852074,97.95316315
05-11-2023 18:37,80:BC:37:04:E4:A0,Grand Venice Mall,d8a1e2d2-1a9d-46ed-81b0-4068a7b3d56a,1.7072E+12,Connect,2.4 GHz,-71,15,0.010839462,0.654801369,0.665640831
05-11-2023 18:37,80:BC:37:04:E8:40,Grand Venice Mall,d8a1e2d2-1a9d-46ed-81b0-4068a7b3d56a,1.7072E+12,Connect,5 GHz,-48.66666667,12,0.016925812,0.030483246,0.047409058
05-11-2023 18:37,80:BC:37:04:E9:10,Grand Venice Mall,d8a1e2d2-1a9d-46ed-81b0-4068a7b3d56a,1.7072E+12,Connect,5 GHz,0,0,0,0,0
05-11-2023 18:37,80:BC:37:06:CB:40,Grand Venice Mall,d8a1e2d2-1a9d-46ed-81b0-4068a7b3d56a,1.7072E+12,Connect,5 GHz,-72.5,17.5,0.022125244,0.073041916,0.09516716
05-11-2023 18:37,80:BC:37:0B:7D:F0,NSE BKC,df4aacb2-7862-4e10-bc86-98d1e1a68d0f,1.7072E+12,Connect,2.4 GHz,-71,16,0.410562515,3.374362946,3.784925461
05-11-2023 18:37,80:BC:37:0B:7D:F0,NSE BKC,df4aacb2-7862-4e10-bc86-98d1e1a68d0f,1.7072E+12,Connect,5 GHz,-29.5,16,0.00262928,0.172272682,0.174901962
05-11-2023 18:37,80:BC:37:0B:9C:C0,"Advantage Club Technologies Inc,",8da9e96e-f412-4bdf-aeac-7bf6e85f3252,1.7072E+12,Connect,2.4 GHz,-86,0,0,51.57329655,51.57329655
05-11-2023 18:37,80:BC:37:0B:AD:10,NSE BKC,df4aacb2-7862-4e10-bc86-98d1e1a68d0f,1.7072E+12,Connect,5 GHz,-51,38,0.028290749,0.277659416,0.305950165
